,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
47,,Afghanistan,33.0,65.0,2020-03-09,4,0,0
48,,Afghanistan,33.0,65.0,2020-03-10,5,0,0
49,,Afghanistan,33.0,65.0,2020-03-11,7,0,0
50,,Afghanistan,33.0,65.0,2020-03-12,7,0,0
51,,Afghanistan,33.0,65.0,2020-03-13,7,0,0
52,,Afghanistan,33.0,65.0,2020-03-14,11,0,0
53,,Afghanistan,33.0,65.0,2020-03-15,16,0,0
54,,Afghanistan,33.0,65.0,2020-03-16,21,0,1
55,,Afghanistan,33.0,65.0,2020-03-17,22,0,1
56,,Afghanistan,33.0,65.0,2020-03-18,22,0,1
57,,Afghanistan,33.0,65.0,2020-03-19,22,0,1
58,,Afghanistan,33.0,65.0,2020-03-20,24,0,1
59,,Afghanistan,33.0,65.0,2020-03-21,24,0,1
60,,Afghanistan,33.0,65.0,2020-03-22,40,1,1
61,,Afghanistan,33.0,65.0,2020-03-23,40,1,1
62,,Afghanistan,33.0,65.0,2020-03-24,74,1,1
63,,Afghanistan,33.0,65.0,2020-03-25,84,2,2
64,,Afghanistan,33.0,65.0,2020-03-26,94,4,2
65,,Afghanistan,33.0,65.0,2020-03-27,110,4,2
66,,Afghanistan,33.0,65.0,2020-03-28,110,4,2
67,,Afghanistan,33.0,65.0,2020-03-29,120,4,2
68,,Afghanistan,33.0,65.0,2020-03-30,170,4,2
69,,Afghanistan,33.0,65.0,2020-03-31,174,4,5
70,,Albania,41.1533,20.1683,2020-01-22,0,0,0
71,,Albania,41.1533,20.1683,2020-01-23,0,0,0
72,,Albania,41.1533,20.1683,2020-01-24,0,0,0
73,,Albania,41.1533,20.1683,2020-01-25,0,0,0
74,,Albania,41.1533,20.1683,2020-01-26,0,0,0
75,,Albania,41.1533,20.1683,2020-01-27,0,0,0
76,,Albania,41.1533,20.1683,2020-01-28,0,0,0
77,,Albania,41.1533,20.1683,2020-01-29,0,0,0
78,,Albania,41.1533,20.1683,2020-01-30,0,0,0
79,,Albania,41.1533,20.1683,2020-01-31,0,0,0
80,,Albania,41.1533,20.1683,2020-02-01,0,0,0
81,,Albania,41.1533,20.1683,2020-02-02,0,0,0
82,,Albania,41.1533,20.1683,2020-02-03,0,0,0
83,,Albania,41.1533,20.1683,2020-02-04,0,0,0
84,,Albania,41.1533,20.1683,2020-02-05,0,0,0
85,,Albania,41.1533,20.1683,2020-02-06,0,0,0
86,,Albania,41.1533,20.1683,2020-02-07,0,0,0
87,,Albania,41.1533,20.1683,2020-02-08,0,0,0
88,,Albania,41.1533,20.1683,2020-02-09,0,0,0
89,,Albania,41.1533,20.1683,2020-02-10,0,0,0
90,,Albania,41.1533,20.1683,2020-02-11,0,0,0
91,,Albania,41.1533,20.1683,2020-02-12,0,0,0
92,,Albania,41.1533,20.1683,2020-02-13,0,0,0
93,,Albania,41.1533,20.1683,2020-02-14,0,0,0
94,,Albania,41.1533,20.1683,2020-02-15,0,0,0
95,,Albania,41.1533,20.1683,2020-02-16,0,0,0
96,,Albania,41.1533,20.1683,2020-02-17,0,0,0
97,,Albania,41.1533,20.1683,2020-02-18,0,0,0
98,,Albania,41.1533,20.1683,2020-02-19,0,0,0
99,,Albania,41.1533,20.1683,2020-02-20,0,0,0
100,,Albania,41.1533,20.1683,2020-02-21,0,0,0
101,,Albania,41.1533,20.1683,2020-02-22,0,0,0
102,,Albania,41.1533,20.1683,2020-02-23,0,0,0
103,,Albania,41.1533,20.1683,2020-02-24,0,0,0
104,,Albania,41.1533,20.1683,2020-02-25,0,0,0
105,,Albania,41.1533,20.1683,2020-02-26,0,0,0
106,,Albania,41.1533,20.1683,2020-02-27,0,0,0
107,,Albania,41.1533,20.1683,2020-02-28,0,0,0
108,,Albania,41.1533,20.1683,2020-02-29,0,0,0
109,,Albania,41.1533,20.1683,2020-03-01,0,0,0
110,,Albania,41.1533,20.1683,2020-03-02,0,0,0
111,,Albania,41.1533,20.1683,2020-03-03,0,0,0
112,,Albania,41.1533,20.1683,2020-03-04,0,0,0
113,,Albania,41.1533,20.1683,2020-03-05,0,0,0
114,,Albania,41.1533,20.1683,2020-03-06,0,0,0
115,,Albania,41.1533,20.1683,2020-03-07,0,0,0
116,,Albania,41.1533,20.1683,2020-03-08,0,0,0
117,,Albania,41.1533,20.1683,2020-03-09,2,0,0
118,,Albania,41.1533,20.1683,2020-03-10,10,0,0
119,,Albania,41.1533,20.1683,2020-03-11,12,1,0
120,,Albania,41.1533,20.1683,2020-03-12,23,1,0
121,,Albania,41.1533,20.1683,2020-03-13,33,1,0
122,,Albania,41.1533,20.1683,2020-03-14,38,1,0
123,,Albania,41.1533,20.1683,2020-03-15,42,1,0
124,,Albania,41.1533,20.1683,2020-03-16,51,1,0
125,,Albania,41.1533,20.1683,2020-03-17,55,1,0
126,,Albania,41.1533,20.1683,2020-03-18,59,2,0
127,,Albania,41.1533,20.1683,2020-03-19,64,2,0
128,,Albania,41.1533,20.1683,2020-03-20,70,2,0
129,,Albania,41.1533,20.1683,2020-03-21,76,2,2
130,,Albania,41.1533,20.1683,2020-03-22,89,2,2
131,,Albania,41.1533,20.1683,2020-03-23,104,4,2
132,,Albania,41.1533,20.1683,2020-03-24,123,5,10
133,,Albania,41.1533,20.1683,2020-03-25,146,5,17
134,,Albania,41.1533,20.1683,2020-03-26,174,6,17
135,,Albania,41.1533,20.1683,2020-03-27,186,8,31
136,,Albania,41.1533,20.1683,2020-03-28,197,10,31
137,,Albania,41.1533,20.1683,2020-03-29,212,10,33
138,,Albania,41.1533,20.1683,2020-03-30,223,11,44
139,,Albania,41.1533,20.1683,2020-03-31,243,15,52
140,,Algeria,28.0339,1.6596,2020-01-22,0,0,0
141,,Algeria,28.0339,1.6596,2020-01-23,0,0,0
142,,Algeria,28.0339,1.6596,2020-01-24,0,0,0
143,,Algeria,28.0339,1.6596,2020-01-25,0,0,0
144,,Algeria,28.0339,1.6596,2020-01-26,0,0,0
145,,Algeria,28.0339,1.6596,2020-01-27,0,0,0
146,,Algeria,28.0339,1.6596,2020-01-28,0,0,0
147,,Algeria,28.0339,1.6596,2020-01-29,0,0,0
148,,Algeria,28.0339,1.6596,2020-01-30,0,0,0
149,,Algeria,28.0339,1.6596,2020-01-31,0,0,0
150,,Algeria,28.0339,1.6596,2020-02-01,0,0,0
151,,Algeria,28.0339,1.6596,2020-02-02,0,0,0
152,,Algeria,28.0339,1.6596,2020-02-03,0,0,0
153,,Algeria,28.0339,1.6596,2020-02-04,0,0,0
154,,Algeria,28.0339,1.6596,2020-02-05,0,0,0
155,,Algeria,28.0339,1.6596,2020-02-06,0,0,0
156,,Algeria,28.0339,1.6596,2020-02-07,0,0,0
157,,Algeria,28.0339,1.6596,2020-02-08,0,0,0
158,,Algeria,28.0339,1.6596,2020-02-09,0,0,0
159,,Algeria,28.0339,1.6596,2020-02-10,0,0,0
160,,Algeria,28.0339,1.6596,2020-02-11,0,0,0
161,,Algeria,28.0339,1.6596,2020-02-12,0,0,0
162,,Algeria,28.0339,1.6596,2020-02-13,0,0,0
163,,Algeria,28.0339,1.6596,2020-02-14,0,0,0
164,,Algeria,28.0339,1.6596,2020-02-15,0,0,0
165,,Algeria,28.0339,1.6596,2020-02-16,0,0,0
166,,Algeria,28.0339,1.6596,2020-02-17,0,0,0
167,,Algeria,28.0339,1.6596,2020-02-18,0,0,0
168,,Algeria,28.0339,1.6596,2020-02-19,0,0,0
169,,Algeria,28.0339,1.6596,2020-02-20,0,0,0
170,,Algeria,28.0339,1.6596,2020-02-21,0,0,0
171,,Algeria,28.0339,1.6596,2020-02-22,0,0,0
172,,Algeria,28.0339,1.6596,2020-02-23,0,0,0
173,,Algeria,28.0339,1.6596,2020-02-24,0,0,0
174,,Algeria,28.0339,1.6596,2020-02-25,1,0,0
175,,Algeria,28.0339,1.6596,2020-02-26,1,0,0
176,,Algeria,28.0339,1.6596,2020-02-27,1,0,0
177,,Algeria,28.0339,1.6596,2020-02-28,1,0,0
178,,Algeria,28.0339,1.6596,2020-02-29,1,0,0
179,,Algeria,28.0339,1.6596,2020-03-01,1,0,0
180,,Algeria,28.0339,1.6596,2020-03-02,3,0,0
181,,Algeria,28.0339,1.6596,2020-03-03,5,0,0
182,,Algeria,28.0339,1.6596,2020-03-04,12,0,0
183,,Algeria,28.0339,1.6596,2020-03-05,12,0,0
184,,Algeria,28.0339,1.6596,2020-03-06,17,0,0
185,,Algeria,28.0339,1.6596,2020-03-07,17,0,0
186,,Algeria,28.0339,1.6596,2020-03-08,19,0,0
187,,Algeria,28.0339,1.6596,2020-03-09,20,0,0
188,,Algeria,28.0339,1.6596,2020-03-10,20,0,0
189,,Algeria,28.0339,1.6596,2020-03-11,20,0,0
190,,Algeria,28.0339,1.6596,2020-03-12,24,1,8
191,,Algeria,28.0339,1.6596,2020-03-13,26,2,8
192,,Algeria,28.0339,1.6596,2020-03-14,37,3,12
193,,Algeria,28.0339,1.6596,2020-03-15,48,4,12
194,,Algeria,28.0339,1.6596,2020-03-16,54,4,12
195,,Algeria,28.0339,1.6596,2020-03-17,60,4,12
196,,Algeria,28.0339,1.6596,2020-03-18,74,7,12
197,,Algeria,28.0339,1.6596,2020-03-19,87,9,32
198,,Algeria,28.0339,1.6596,2020-03-20,90,11,32
199,,Algeria,28.0339,1.6596,2020-03-21,139,15,32
200,,Algeria,28.0339,1.6596,2020-03-22,201,17,65
201,,Algeria,28.0339,1.6596,2020-03-23,230,17,65
202,,Algeria,28.0339,1.6596,2020-03-24,264,19,24
203,,Algeria,28.0339,1.6596,2020-03-25,302,21,65
204,,Algeria,28.0339,1.6596,2020-03-26,367,25,29
205,,Algeria,28.0339,1.6596,2020-03-27,409,26,29
206,,Algeria,28.0339,1.6596,2020-03-28,454,29,31
207,,Algeria,28.0339,1.6596,2020-03-29,511,31,31
208,,Algeria,28.0339,1.6596,2020-03-30,584,35,37
209,,Algeria,28.0339,1.6596,2020-03-31,716,44,46
210,,Andorra,42.5063,1.5218,2020-01-22,0,0,0
211,,Andorra,42.5063,1.5218,2020-01-23,0,0,0
212,,Andorra,42.5063,1.5218,2020-01-24,0,0,0
213,,Andorra,42.5063,1.5218,2020-01-25,0,0,0
214,,Andorra,42.5063,1.5218,2020-01-26,0,0,0
215,,Andorra,42.5063,1.5218,2020-01-27,0,0,0
216,,Andorra,42.5063,1.5218,2020-01-28,0,0,0
217,,Andorra,42.5063,1.5218,2020-01-29,0,0,0
218,,Andorra,42.5063,1.5218,2020-01-30,0,0,0
219,,Andorra,42.5063,1.5218,2020-01-31,0,0,0
220,,Andorra,42.5063,1.5218,2020-02-01,0,0,0
221,,Andorra,42.5063,1.5218,2020-02-02,0,0,0
222,,Andorra,42.5063,1.5218,2020-02-03,0,0,0
223,,Andorra,42.5063,1.5218,2020-02-04,0,0,0
224,,Andorra,42.5063,1.5218,2020-02-05,0,0,0
225,,Andorra,42.5063,1.5218,2020-02-06,0,0,0
226,,Andorra,42.5063,1.5218,2020-02-07,0,0,0
227,,Andorra,42.5063,1.5218,2020-02-08,0,0,0
228,,Andorra,42.5063,1.5218,2020-02-09,0,0,0
229,,Andorra,42.5063,1.5218,2020-02-10,0,0,0
230,,Andorra,42.5063,1.5218,2020-02-11,0,0,0
231,,Andorra,42.5063,1.5218,2020-02-12,0,0,0
232,,Andorra,42.5063,1.5218,2020-02-13,0,0,0
233,,Andorra,42.5063,1.5218,2020-02-14,0,0,0
234,,Andorra,42.5063,1.5218,2020-02-15,0,0,0
235,,Andorra,42.5063,1.5218,2020-02-16,0,0,0
236,,Andorra,42.5063,1.5218,2020-02-17,0,0,0
237,,Andorra,42.5063,1.5218,2020-02-18,0,0,0
238,,Andorra,42.5063,1.5218,2020-02-19,0,0,0
239,,Andorra,42.5063,1.5218,2020-02-20,0,0,0
240,,Andorra,42.5063,1.5218,2020-02-21,0,0,0
241,,Andorra,42.5063,1.5218,2020-02-22,0,0,0
242,,Andorra,42.5063,1.5218,2020-02-23,0,0,0
243,,Andorra,42.5063,1.5218,2020-02-24,0,0,0
244,,Andorra,42.5063,1.5218,2020-02-25,0,0,0
245,,Andorra,42.5063,1.5218,2020-02-26,0,0,0
246,,Andorra,42.5063,1.5218,2020-02-27,0,0,0
247,,Andorra,42.5063,1.5218,2020-02-28,0,0,0
248,,Andorra,42.5063,1.5218,2020-02-29,0,0,0
249,,Andorra,42.5063,1.5218,2020-03-01,0,0,0
250,,Andorra,42.5063,1.5218,2020-03-02,1,0,0
251,,Andorra,42.5063,1.5218,2020-03-03,1,0,0
252,,Andorra,42.5063,1.5218,2020-03-04,1,0,0
253,,Andorra,42.5063,1.5218,2020-03-05,1,0,0
254,,Andorra,42.5063,1.5218,2020-03-06,1,0,0
255,,Andorra,42.5063,1.5218,2020-03-07,1,0,0
256,,Andorra,42.5063,1.5218,2020-03-08,1,0,0
257,,Andorra,42.5063,1.5218,2020-03-09,1,0,0
258,,Andorra,42.5063,1.5218,2020-03-10,1,0,0
259,,Andorra,42.5063,1.5218,2020-03-11,1,0,0
260,,Andorra,42.5063,1.5218,2020-03-12,1,0,1
261,,Andorra,42.5063,1.5218,2020-03-13,1,0,0
262,,Andorra,42.5063,1.5218,2020-03-14,1,0,1
263,,Andorra,42.5063,1.5218,2020-03-15,1,0,1
264,,Andorra,42.5063,1.5218,2020-03-16,2,0,1
265,,Andorra,42.5063,1.5218,2020-03-17,39,0,1
266,,Andorra,42.5063,1.5218,2020-03-18,39,0,1
267,,Andorra,42.5063,1.5218,2020-03-19,53,0,1
268,,Andorra,42.5063,1.5218,2020-03-20,75,0,1
269,,Andorra,42.5063,1.5218,2020-03-21,88,0,1
270,,Andorra,42.5063,1.5218,2020-03-22,113,1,1
271,,Andorra,42.5063,1.5218,2020-03-23,133,1,1
272,,Andorra,42.5063,1.5218,2020-03-24,164,1,1
273,,Andorra,42.5063,1.5218,2020-03-25,188,1,1
274,,Andorra,42.5063,1.5218,2020-03-26,224,3,1
275,,Andorra,42.5063,1.5218,2020-03-27,267,3,1
276,,Andorra,42.5063,1.5218,2020-03-28,308,3,1
277,,Andorra,42.5063,1.5218,2020-03-29,334,6,1
278,,Andorra,42.5063,1.5218,2020-03-30,370,8,10
279,,Andorra,42.5063,1.5218,2020-03-31,376,12,10
280,,Angola,-11.2027,17.8739,2020-01-22,0,0,0
281,,Angola,-11.2027,17.8739,2020-01-23,0,0,0
282,,Angola,-11.2027,17.8739,2020-01-24,0,0,0
283,,Angola,-11.2027,17.8739,2020-01-25,0,0,0
284,,Angola,-11.2027,17.8739,2020-01-26,0,0,0
285,,Angola,-11.2027,17.8739,2020-01-27,0,0,0
286,,Angola,-11.2027,17.8739,2020-01-28,0,0,0
287,,Angola,-11.2027,17.8739,2020-01-29,0,0,0
288,,Angola,-11.2027,17.8739,2020-01-30,0,0,0
289,,Angola,-11.2027,17.8739,2020-01-31,0,0,0
290,,Angola,-11.2027,17.8739,2020-02-01,0,0,0
291,,Angola,-11.2027,17.8739,2020-02-02,0,0,0
292,,Angola,-11.2027,17.8739,2020-02-03,0,0,0
293,,Angola,-11.2027,17.8739,2020-02-04,0,0,0
294,,Angola,-11.2027,17.8739,2020-02-05,0,0,0
295,,Angola,-11.2027,17.8739,2020-02-06,0,0,0
296,,Angola,-11.2027,17.8739,2020-02-07,0,0,0
297,,Angola,-11.2027,17.8739,2020-02-08,0,0,0
298,,Angola,-11.2027,17.8739,2020-02-09,0,0,0
299,,Angola,-11.2027,17.8739,2020-02-10,0,0,0
300,,Angola,-11.2027,17.8739,2020-02-11,0,0,0
301,,Angola,-11.2027,17.8739,2020-02-12,0,0,0
302,,Angola,-11.2027,17.8739,2020-02-13,0,0,0
303,,Angola,-11.2027,17.8739,2020-02-14,0,0,0
304,,Angola,-11.2027,17.8739,2020-02-15,0,0,0
305,,Angola,-11.2027,17.8739,2020-02-16,0,0,0
306,,Angola,-11.2027,17.8739,2020-02-17,0,0,0
307,,Angola,-11.2027,17.8739,2020-02-18,0,0,0
308,,Angola,-11.2027,17.8739,2020-02-19,0,0,0
309,,Angola,-11.2027,17.8739,2020-02-20,0,0,0
310,,Angola,-11.2027,17.8739,2020-02-21,0,0,0
311,,Angola,-11.2027,17.8739,2020-02-22,0,0,0
312,,Angola,-11.2027,17.8739,2020-02-23,0,0,0
313,,Angola,-11.2027,17.8739,2020-02-24,0,0,0
314,,Angola,-11.2027,17.8739,2020-02-25,0,0,0
315,,Angola,-11.2027,17.8739,2020-02-26,0,0,0
316,,Angola,-11.2027,17.8739,2020-02-27,0,0,0
317,,Angola,-11.2027,17.8739,2020-02-28,0,0,0
318,,Angola,-11.2027,17.8739,2020-02-29,0,0,0
319,,Angola,-11.2027,17.8739,2020-03-01,0,0,0
320,,Angola,-11.2027,17.8739,2020-03-02,0,0,0
321,,Angola,-11.2027,17.8739,2020-03-03,0,0,0
322,,Angola,-11.2027,17.8739,2020-03-04,0,0,0
323,,Angola,-11.2027,17.8739,2020-03-05,0,0,0
324,,Angola,-11.2027,17.8739,2020-03-06,0,0,0
325,,Angola,-11.2027,17.8739,2020-03-07,0,0,0
326,,Angola,-11.2027,17.8739,2020-03-08,0,0,0
327,,Angola,-11.2027,17.8739,2020-03-09,0,0,0
328,,Angola,-11.2027,17.8739,2020-03-10,0,0,0
329,,Angola,-11.2027,17.8739,2020-03-11,0,0,0
330,,Angola,-11.2027,17.8739,2020-03-12,0,0,0
331,,Angola,-11.2027,17.8739,2020-03-13,0,0,0
332,,Angola,-11.2027,17.8739,2020-03-14,0,0,0
333,,Angola,-11.2027,17.8739,2020-03-15,0,0,0
334,,Angola,-11.2027,17.8739,2020-03-16,0,0,0
335,,Angola,-11.2027,17.8739,2020-03-17,0,0,0
336,,Angola,-11.2027,17.8739,2020-03-18,0,0,0
337,,Angola,-11.2027,17.8739,2020-03-19,0,0,0
338,,Angola,-11.2027,17.8739,2020-03-20,1,0,0
339,,Angola,-11.2027,17.8739,2020-03-21,2,0,0
340,,Angola,-11.2027,17.8739,2020-03-22,2,0,0
341,,Angola,-11.2027,17.8739,2020-03-23,3,0,0
342,,Angola,-11.2027,17.8739,2020-03-24,3,0,0
343,,Angola,-11.2027,17.8739,2020-03-25,3,0,0
344,,Angola,-11.2027,17.8739,2020-03-26,4,0,0
345,,Angola,-11.2027,17.8739,2020-03-27,4,0,0
346,,Angola,-11.2027,17.8739,2020-03-28,5,0,0
347,,Angola,-11.2027,17.8739,2020-03-29,7,2,0
348,,Angola,-11.2027,17.8739,2020-03-30,7,2,0
349,,Angola,-11.2027,17.8739,2020-03-31,7,2,1
350,,Antigua and Barbuda,17.0608,-61.7964,2020-01-22,0,0,0
351,,Antigua and Barbuda,17.0608,-61.7964,2020-01-23,0,0,0
352,,Antigua and Barbuda,17.0608,-61.7964,2020-01-24,0,0,0
353,,Antigua and Barbuda,17.0608,-61.7964,2020-01-25,0,0,0
354,,Antigua and Barbuda,17.0608,-61.7964,2020-01-26,0,0,0
355,,Antigua and Barbuda,17.0608,-61.7964,2020-01-27,0,0,0
356,,Antigua and Barbuda,17.0608,-61.7964,2020-01-28,0,0,0
357,,Antigua and Barbuda,17.0608,-61.7964,2020-01-29,0,0,0
358,,Antigua and Barbuda,17.0608,-61.7964,2020-01-30,0,0,0
359,,Antigua and Barbuda,17.0608,-61.7964,2020-01-31,0,0,0
360,,Antigua and Barbuda,17.0608,-61.7964,2020-02-01,0,0,0
361,,Antigua and Barbuda,17.0608,-61.7964,2020-02-02,0,0,0
362,,Antigua and Barbuda,17.0608,-61.7964,2020-02-03,0,0,0
363,,Antigua and Barbuda,17.0608,-61.7964,2020-02-04,0,0,0
364,,Antigua and Barbuda,17.0608,-61.7964,2020-02-05,0,0,0
365,,Antigua and Barbuda,17.0608,-61.7964,2020-02-06,0,0,0
366,,Antigua and Barbuda,17.0608,-61.7964,2020-02-07,0,0,0
367,,Antigua and Barbuda,17.0608,-61.7964,2020-02-08,0,0,0
368,,Antigua and Barbuda,17.0608,-61.7964,2020-02-09,0,0,0
369,,Antigua and Barbuda,17.0608,-61.7964,2020-02-10,0,0,0
370,,Antigua and Barbuda,17.0608,-61.7964,2020-02-11,0,0,0
371,,Antigua and Barbuda,17.0608,-61.7964,2020-02-12,0,0,0
372,,Antigua and Barbuda,17.0608,-61.7964,2020-02-13,0,0,0
373,,Antigua and Barbuda,17.0608,-61.7964,2020-02-14,0,0,0
374,,Antigua and Barbuda,17.0608,-61.7964,2020-02-15,0,0,0
375,,Antigua and Barbuda,17.0608,-61.7964,2020-02-16,0,0,0
376,,Antigua and Barbuda,17.0608,-61.7964,2020-02-17,0,0,0
377,,Antigua and Barbuda,17.0608,-61.7964,2020-02-18,0,0,0
378,,Antigua and Barbuda,17.0608,-61.7964,2020-02-19,0,0,0
379,,Antigua and Barbuda,17.0608,-61.7964,2020-02-20,0,0,0
380,,Antigua and Barbuda,17.0608,-61.7964,2020-02-21,0,0,0
381,,Antigua and Barbuda,17.0608,-61.7964,2020-02-22,0,0,0
382,,Antigua and Barbuda,17.0608,-61.7964,2020-02-23,0,0,0
383,,Antigua and Barbuda,17.0608,-61.7964,2020-02-24,0,0,0
384,,Antigua and Barbuda,17.0608,-61.7964,2020-02-25,0,0,0
385,,Antigua and Barbuda,17.0608,-61.7964,2020-02-26,0,0,0
386,,Antigua and Barbuda,17.0608,-61.7964,2020-02-27,0,0,0
387,,Antigua and Barbuda,17.0608,-61.7964,2020-02-28,0,0,0
388,,Antigua and Barbuda,17.0608,-61.7964,2020-02-29,0,0,0
389,,Antigua and Barbuda,17.0608,-61.7964,2020-03-01,0,0,0
390,,Antigua and Barbuda,17.0608,-61.7964,2020-03-02,0,0,0
391,,Antigua and Barbuda,17.0608,-61.7964,2020-03-03,0,0,0
392,,Antigua and Barbuda,17.0608,-61.7964,2020-03-04,0,0,0
393,,Antigua and Barbuda,17.0608,-61.7964,2020-03-05,0,0,0
394,,Antigua and Barbuda,17.0608,-61.7964,2020-03-06,0,0,0
395,,Antigua and Barbuda,17.0608,-61.7964,2020-03-07,0,0,0
396,,Antigua and Barbuda,17.0608,-61.7964,2020-03-08,0,0,0
397,,Antigua and Barbuda,17.0608,-61.7964,2020-03-09,0,0,0
398,,Antigua and Barbuda,17.0608,-61.7964,2020-03-10,0,0,0
399,,Antigua and Barbuda,17.0608,-61.7964,2020-03-11,0,0,0
400,,Antigua and Barbuda,17.0608,-61.7964,2020-03-12,0,0,0
401,,Antigua and Barbuda,17.0608,-61.7964,2020-03-13,1,0,0
402,,Antigua and Barbuda,17.0608,-61.7964,2020-03-14,1,0,0
403,,Antigua and Barbuda,17.0608,-61.7964,2020-03-15,1,0,0
404,,Antigua and Barbuda,17.0608,-61.7964,2020-03-16,1,0,0
405,,Antigua and Barbuda,17.0608,-61.7964,2020-03-17,1,0,0
406,,Antigua and Barbuda,17.0608,-61.7964,2020-03-18,1,0,0
407,,Antigua and Barbuda,17.0608,-61.7964,2020-03-19,1,0,0
408,,Antigua and Barbuda,17.0608,-61.7964,2020-03-20,1,0,0
409,,Antigua and Barbuda,17.0608,-61.7964,2020-03-21,1,0,0
410,,Antigua and Barbuda,17.0608,-61.7964,2020-03-22,1,0,0
411,,Antigua and Barbuda,17.0608,-61.7964,2020-03-23,3,0,0
412,,Antigua and Barbuda,17.0608,-61.7964,2020-03-24,3,0,0
413,,Antigua and Barbuda,17.0608,-61.7964,2020-03-25,3,0,0
414,,Antigua and Barbuda,17.0608,-61.7964,2020-03-26,7,0,0
415,,Antigua and Barbuda,17.0608,-61.7964,2020-03-27,7,0,0
416,,Antigua and Barbuda,17.0608,-61.7964,2020-03-28,7,0,0
417,,Antigua and Barbuda,17.0608,-61.7964,2020-03-29,7,0,0
418,,Antigua and Barbuda,17.0608,-61.7964,2020-03-30,7,0,0
419,,Antigua and Barbuda,17.0608,-61.7964,2020-03-31,7,0,0
420,,Argentina,-38.4161,-63.6167,2020-01-22,0,0,0
421,,Argentina,-38.4161,-63.6167,2020-01-23,0,0,0
422,,Argentina,-38.4161,-63.6167,2020-01-24,0,0,0
423,,Argentina,-38.4161,-63.6167,2020-01-25,0,0,0
424,,Argentina,-38.4161,-63.6167,2020-01-26,0,0,0
425,,Argentina,-38.4161,-63.6167,2020-01-27,0,0,0
426,,Argentina,-38.4161,-63.6167,2020-01-28,0,0,0
427,,Argentina,-38.4161,-63.6167,2020-01-29,0,0,0
428,,Argentina,-38.4161,-63.6167,2020-01-30,0,0,0
429,,Argentina,-38.4161,-63.6167,2020-01-31,0,0,0
430,,Argentina,-38.4161,-63.6167,2020-02-01,0,0,0
431,,Argentina,-38.4161,-63.6167,2020-02-02,0,0,0
432,,Argentina,-38.4161,-63.6167,2020-02-03,0,0,0
433,,Argentina,-38.4161,-63.6167,2020-02-04,0,0,0
